City,Name,Michelin_Award,Main_Menu,Google_Category,Avg_Price_EUR,Maps_Url
Lisbon,Zunzum Gastrobar,Bib Gourmand,Contemporary,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Zunzum%20Gastrobar%2C%20Avenida%20Infante%20D.%20Henrique.%20Doca%20do%20Jardim%20do%20Tabaco%2C%20Lisbon%2C%201100-651%2C%20Portugal
Lisbon,100 Maneiras,Selected,Creative,Fine dining restaurant,160,https://www.google.com/maps/search/?api=1&query=100%20Maneiras%2C%20Rua%20do%20Teixeira%2039%2C%20Lisbon%2C%201200-459%2C%20Portugal
Lisbon,BAHR,Selected,Portuguese,Restaurant,55,https://www.google.com/maps/search/?api=1&query=BAHR%2C%20Pra%C3%A7a%20Lu%C3%ADs%20De%20Cam%C3%B5es%202%2C%20Lisbon%2C%201200-243%2C%20Portugal
Lisbon,JNĉQUOI Fish,Selected,Seafood,Restaurant,69,https://www.google.com/maps/search/?api=1&query=JN%C4%89QUOI%20Fish%2C%20Av.%20da%20Liberdade%2C%20189%2C%20Lisbon%2C%201250-096%2C%20Portugal
Lisbon,O Frade,Selected,Regional Cuisine,Restaurant,32,https://www.google.com/maps/search/?api=1&query=O%20Frade%2C%20Cal%C3%A7ada%20da%20Ajuda%2014%2C%20Lisbon%2C%201300-006%2C%20Portugal
Lisbon,O Talho,Selected,Meats and Grills,Restaurant,55,https://www.google.com/maps/search/?api=1&query=O%20Talho%2C%20Rua%20Carlos%20Testa%201%2C%20Lisbon%2C%201050-046%2C%20Portugal
Lisbon,Plano,Selected,Contemporary,Restaurant,95,https://www.google.com/maps/search/?api=1&query=Plano%2C%20Rua%20da%20Bela%20Vista%20%C3%A0%20Gra%C3%A7a%20126%2C%20Lisbon%2C%201170-075%2C%20Portugal
Lisbon,Santa Joana,Selected,Contemporary,Restaurant,38,https://www.google.com/maps/search/?api=1&query=Santa%20Joana%2C%20Rua%20de%20Santa%20Marta%2061B%2C%20Lisbon%2C%201059-002%2C%20Portugal
Lisbon,Suba,Selected,Contemporary,Restaurant,95,https://www.google.com/maps/search/?api=1&query=Suba%2C%20Tv.%20da%20Portuguesa%2053%2C%20Lisbon%2C%201200-401%2C%20Portugal
Lisbon,Terroir,Selected,Modern Cuisine,Restaurant,95,https://www.google.com/maps/search/?api=1&query=Terroir%2C%20Rua%20da%20Madalena%2C%20271%2C%20Lisbon%2C%201100-321%2C%20Portugal
Porto,OMA,Bib Gourmand,Contemporary,Restaurant,70,https://www.google.com/maps/search/?api=1&query=OMA%2C%20Rua%20De%20Oliveira%20Monteiro%2C%20183%2C%20Porto%2C%204050-442%2C%20Portugal
Porto,Pátio 44,Bib Gourmand,Traditional Cuisine,Restaurant,27,https://www.google.com/maps/search/?api=1&query=P%C3%A1tio%2044%2C%20Passeio%20De%20S%C3%A3o%20L%C3%A1zaro%2C%2044%2C%20Porto%2C%204000%20508%2C%20Portugal
Porto,Almeja,Selected,Contemporary,Fine dining restaurant,50,https://www.google.com/maps/search/?api=1&query=Almeja%2C%20Rua%20Fernandes%20Tom%C3%A1s%20819%2C%20Porto%2C%204000-219%2C%20Portugal
Porto,Apego,Selected,Creative,Restaurant,75,https://www.google.com/maps/search/?api=1&query=Apego%2C%20Rua%20de%20Santa%20Catarina%201198%2C%20Porto%2C%204000-457%2C%20Portugal
Porto,Atrevo,Selected,Contemporary,Restaurant,55,https://www.google.com/maps/search/?api=1&query=Atrevo%2C%20Rua%20de%20Morgado%20de%20Mateus%2051%2C%20Porto%2C%204000-334%2C%20Portugal
Porto,Bistrô Severo,Selected,Traditional Cuisine,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Bistr%C3%B4%20Severo%2C%20Rua%20De%20Ricardo%20Severo%20141%2C%20Porto%2C%204050-515%2C%20Portugal
Porto,Camilo,Selected,Contemporary,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Camilo%2C%20Rua%20do%20Almada%2C%20378%2C%20Porto%2C%204050-033%2C%20Portugal
Porto,Cozinha das Flores,Selected,Modern Cuisine,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Cozinha%20das%20Flores%2C%20Largo%20S%C3%A3o%20Domingos%2062%2C%20Porto%2C%204050-545%2C%20Portugal
Porto,Elemento,Selected,Modern Cuisine,Restaurant,95,https://www.google.com/maps/search/?api=1&query=Elemento%2C%20Rua%20do%20Almada%2051%2C%20Porto%2C%204050-036%2C%20Portugal
Porto,Fauno,Selected,Contemporary,Restaurant,65,https://www.google.com/maps/search/?api=1&query=Fauno%2C%20Rua%20Estreita%20de%20L%C3%B3ios%205%2C%20Porto%2C%204050-244%2C%20Portugal
Porto,Liz,Selected,Contemporary,Restaurant,80,https://www.google.com/maps/search/?api=1&query=Liz%2C%20Rua%20de%20Mota%20Pinto%20170%2C%20Porto%2C%204100-354%2C%20Portugal
